,X,label,dataset
0,-1.71023749777,0.974393259961,Train
1,-0.352139111801,-0.0063029606714,Test
2,-1.81812835264,0.998035888829,Test
3,0.900931344229,1.01185039611,Test
4,-1.14276939168,0.991404449676,Train
5,-1.44906621342,0.9903743994,Train
6,1.00345903115,-0.00160080222645,Test
7,0.579828052499,1.00006323158,Val
8,1.34718913434,-0.00291403001405,Test
9,-0.529241464349,-0.00196149282033,Train
10,1.09568593325,-0.0192815341126,Train
11,1.54060295019,0.00825068745443,Test
12,1.20926140387,-0.00177623710744,Train
13,0.609061829433,0.997825339844,Train
14,0.982631476462,1.00521695255,Train
15,1.53441019223,-0.0142460268459,Train
16,-1.64843590252,1.01690024318,Val
17,-1.41500466233,0.97969019179,Train
18,-1.76228611811,1.01532588461,Val
19,1.27379222611,-0.0129139284776,Test
20,1.42573398439,-0.0039842188326,Train
21,-0.147066887823,0.0093760530833,Train
22,1.51424899925,0.000636343151103,Train
23,-1.49250679348,0.998127894017,Train
24,-0.734940764922,-0.00570850591365,Train
25,0.0483682194462,0.990173306529,Train
26,-0.71377843634,-0.00116388998465,Train
27,-0.831247905202,-0.00165436234849,Val
28,-0.805920478311,-0.00602623237958,Test
29,-1.69676882114,0.994450629265,Train
30,-0.923917970281,-0.00916074536607,Train
31,-0.325965171378,0.0101092967164,Train
32,1.3047565797,-0.0084093865088,Train
33,-0.844705948465,-0.000327682039397,Test
34,0.817395532076,1.00458605411,Train
35,-0.530163773981,-0.00516947546498,Train
36,-1.52258111622,1.0085306992,Test
37,0.985774321911,1.00248883854,Train
38,-1.24078472643,1.01743052268,Test
39,-1.32945317035,0.997065337256,Train
40,-1.70749804106,1.01008234744,Val
41,1.91526125276,0.00481063753822,Train
42,-1.2233035125,1.00156850763,Val
43,-1.07883640263,0.979351015756,Train
44,1.63929651133,0.0176043468561,Train
45,1.66317014477,-0.00809426847492,Test
46,-0.988554713365,0.00267261693983,Train
47,1.32485380023,-0.0122939060229,Train
48,-1.89749467712,1.00239419841,Test
49,1.85918759824,0.0110675489533,Train
50,-0.494890296671,0.00756650661828,Val
51,0.269490507393,1.02043612643,Train
52,-1.42550351377,1.01475300308,Train
53,-0.429390555517,-0.0151975379376,Val
54,-0.326360045888,-0.0251872113928,Train
55,-0.301122481678,-0.0143202047566,Test
56,-0.684583780579,0.00621692079998,Val
57,-1.22684526235,0.98263479322,Train
58,-0.272613422684,0.00257183065046,Train
59,-0.105324196459,-0.00488191519009,Train
60,1.55231608457,0.00615114986596,Val
61,-1.5659816643,1.0008498442,Train
62,1.25379873814,-0.00425244607249,Val
63,-0.265406025975,0.0124204645206,Train
64,0.79072894199,1.00972481449,Train
65,-0.193686924526,-0.00318882786373,Train
66,-1.59527435865,0.999696452056,Train
67,-0.512444893657,0.00252516701103,Test
68,0.6216259426,0.989831334026,Test
69,-1.59065615175,1.00036248924,Train
70,-1.93022028758,0.994054912893,Val
71,-0.821948618576,0.00155105360703,Train
72,-0.359040230424,-0.00258054626157,Train
73,0.631276146744,1.00927703973,Train
74,-1.18621158794,1.00411585088,Train
75,-0.115638321432,0.00254674104859,Val
76,-1.58704075276,0.986478394805,Val
77,1.13641921085,-0.00571844136482,Train
78,-1.44344653175,0.995815902058,Train
79,1.43907960118,-0.0131611183536,Train
80,-0.68137699978,0.00592227090605,Train
81,0.00600065509961,1.00510417029,Train
82,0.147434519852,0.999557371465,Train
83,1.28127433889,0.00634523353517,Test
84,0.866946370722,1.02743086127,Train
85,-1.26393537807,0.982436614262,Train
86,-0.593626356554,-0.0195265735684,Val
87,-0.457020793648,-0.00949716225482,Train
88,0.698356037056,1.01128680245,Train
89,-1.91773568044,1.01230183406,Train
90,-0.680125688526,0.0081055599396,Test
91,1.13396257043,0.00272924199508,Train
92,-1.58153717318,0.991998240551,Val
93,0.163633505061,0.997401273883,Train
94,0.279596949686,1.0007797333,Train
95,0.139399887997,1.00735524677,Train
96,-0.0136271858694,-0.00660574947376,Train
97,1.39737737052,0.00277240773379,Test
98,-0.198727527162,0.0123889829215,Train
99,1.93880864186,0.00430166710842,Train
100,-1.57967790633,1.0204333121,Val
101,1.92601479342,-0.00471221493379,Test
102,1.71171607694,-0.0126238670359,Train
103,0.545131012486,1.00089002341,Val
104,-1.69329965532,0.99373492773,Test
105,1.91932806282,0.00034392405241,Train
106,-1.60024803314,1.01020005778,Val
107,-1.82790345085,0.996138143452,Val
108,0.982394095171,0.995669100154,Train
109,0.85275181898,1.01479872985,Train
110,-1.47319373718,0.986585112637,Train
111,-0.261820778949,0.00676939298459,Test
112,-0.694345116267,-0.00654312950821,Val
113,-0.00700440604978,-0.00878244039858,Train
114,1.77660691561,-0.0146081423247,Train
115,-1.11312358529,0.995368357655,Train
116,1.32303493138,-0.00877032322193,Val
117,-1.42795443657,1.00215115676,Train
118,-1.07427124331,0.973071471605,Test
119,1.90724569159,-0.0119015116359,Test
120,0.868946316227,0.998280335345,Train
121,-0.422881035779,0.00198465481204,Val
122,1.73749998729,-0.00455470429456,Train
123,-0.305545411045,0.00432232129222,Val
124,-0.756893578533,0.0139993659469,Test
125,1.60453167962,-0.00380116247895,Train
126,-1.70743901444,1.01205440234,Train
127,0.430703858147,0.993861443132,Train
128,-1.29738524959,0.997390618905,Train
129,0.99385449345,0.996968705639,Train
130,0.00230684212378,0.993569340647,Train
131,-1.42114987202,0.989911448779,Train
132,0.0867277765048,0.997197662397,Train
133,1.2286558767,0.00865465565914,Test
134,0.11867821668,0.991113921612,Test
135,0.94993512945,0.988023529063,Test
136,-1.23183855342,1.0035984777,Val
137,1.00405726007,0.010947987375,Train
138,-1.19525334487,1.00733035993,Train
139,1.12176345062,0.00280876862723,Val
140,-0.455162675148,-0.000459987886624,Train
141,-1.53367808343,1.00616273656,Train
142,0.372158223826,0.997417934239,Train
143,-1.16546967482,1.0095799477,Val
144,-1.60124462581,1.00892688834,Train
145,-0.178371598633,-0.00376058847595,Train
146,0.987720919756,1.00122736031,Train
147,-1.15440499945,0.997547271185,Train
148,-1.4410942873,1.00627568781,Train
149,-0.0504416010339,0.0261404209127,Train
150,-1.21534288721,1.00098615008,Test
151,0.880619682727,1.01203362289,Train
152,0.132019872562,1.00258461972,Test
153,0.359961445461,1.01155827638,Val
154,0.23534352054,1.0101798266,Train
155,-1.52475765931,0.997683348288,Test
156,-0.941040679802,0.035858534379,Train
157,-1.53443393044,1.013263269,Train
158,0.664427848321,0.994725448358,Val
159,0.756172809112,0.970846500674,Train
160,-1.84881442824,0.976914548037,Val
